Id,EmployeeId,UserName,FirstName,MiddleName,LastName,DisplayName,FullTimeEmployee,EmployeeType,IsActive,OrganizationCode,SupervisorName,EmailId,MobileNumber,Country,JoinDate,TerminationDate,EffectiveStartDate,EffectiveEndDate,LastReportingDate,RehireDate,AssignDate,CreatedDate,LastModifiedDate,ReasonCode
1,1,AaronJames,Aaron,,James,AaronJames,Yes,Staff,Yes,CORPORATEOFFICE,AaronJames,AaronJames@ContosoCorp.com,60607071,SG,25-04-2019 00:00,,25-04-2019 00:00,,,,25-04-2019 00:00,25-04-2019 00:00,,NewJoinee
2,2,AdamJamie,Adam,,Jamie,AdamJamie,Yes,Staff,Yes,FINANCE,AaronJames,AdamJamie@ContosoCorp.com,60607072,SG,25-04-2019 00:00,,25-04-2019 00:00,,,,25-04-2019 00:00,25-04-2019 00:00,,NewJoinee
3,3,AlexJay,Alex,,Jay,AlexJay,Yes,Staff,Yes,TECHNOLOGY,AaronJames,AlexJay@ContosoCorp.com,60607073,SG,25-04-2019 00:00,,25-04-2019 00:00,,,,25-04-2019 00:00,25-04-2019 00:00,,NewJoinee
4,4,AlexanderJayden,Alexander,,Jayden,AlexanderJayden,Yes,Staff,Yes,HR,AaronJames,AlexanderJayden@ContosoCorp.com,60607074,SG,25-04-2019 00:00,,25-04-2019 00:00,,,,25-04-2019 00:00,25-04-2019 00:00,,NewJoinee
5,5,AndrewJoe,Andrew,,Joe,AndrewJoe,Yes,Staff,Yes,LOGISTICS,AaronJames,AndrewJoe@ContosoCorp.com,60607075,SG,25-04-2019 00:00,,25-04-2019 00:00,,,,25-04-2019 00:00,25-04-2019 00:00,,NewJoinee
6,6,ArchieJoel,Archie,,Joel,ArchieJoel,Yes,Staff,Yes,SALES,AaronJames,ArchieJoel@ContosoCorp.com,60607076,SG,25-04-2019 00:00,,25-04-2019 00:00,,,,25-04-2019 00:00,25-04-2019 00:00,,NewJoinee
7,7,AshtonJohn,Ashton,,John,AshtonJohn,Yes,Staff,Yes,CORPORATE_FINANCE,AdamJamie,AshtonJohn@ContosoCorp.com,60607077,SG,25-04-2019 00:00,,25-04-2019 00:00,,,,25-04-2019 00:00,25-04-2019 00:00,,NewJoinee
8,8,BaileyJoseph,Bailey,,Joseph,,Yes,Staff,Yes,ACCOUNTS_RECEIVABLE,AdamJamie,BaileyJoseph@ContosoCorp.com,60607078,SG,25-04-2019 00:00,23-07-2021 17:44,25-04-2019 00:00,23-07-2021 17:44,,,25-04-2019 00:00,25-04-2019 00:00,23-07-2021 17:44,OffBoard
9,9,BenJosh,Ben,,Josh,BenJosh,Yes,Staff,Yes,ACCOUNT_PAYABLE,AdamJamie,BenJosh@ContosoCorp.com,60607079,SG,25-04-2019 00:00,,25-04-2019 00:00,,,,25-04-2019 00:00,25-04-2019 00:00,,NewJoinee
10,10,BenjaminLuke,Benjamin,,Luke,BenjaminLuke,Yes,Staff,Yes,CREDIT_MANAGEMENT,AdamJamie,BenjaminLuke@ContosoCorp.com,60607080,SG,25-04-2019 00:00,,25-04-2019 00:00,,,,25-04-2019 00:00,25-04-2019 00:00,,NewJoinee
11,11,BillyMason,Billy,,Mason,BillyMason,Yes,Staff,Yes,INFORMATION_TECHNOLOGY,AlexJay,BillyMason@ContosoCorp.com,60607081,SG,25-04-2019 00:00,23-12-2022 17:44,25-04-2019 00:00,23-12-2022 17:44,,,25-04-2019 00:00,25-04-2019 00:00,23-12-2022 17:44,OffBoard
12,12,BradleyMatthew,Bradley,,Matthew,BradleyMatthew,Yes,Staff,Yes,SECURITY_OPERATIONS,AlexJay,BradleyMatthew@ContosoCorp.com,60607082,SG,25-04-2019 00:00,,25-04-2019 00:00,,,,25-04-2019 00:00,25-04-2019 00:00,,NewJoinee
13,13,BrandonMax,Brandon,,Max,BrandonMax,Yes,Staff,Yes,PROFESSIONAL_SERVICES,AlexJay,BrandonMax@ContosoCorp.com,60607083,SG,25-04-2019 00:00,,25-04-2019 00:00,,,,25-04-2019 00:00,25-04-2019 00:00,,NewJoinee
14,14,CameronMichael,Cameron,,Michael,CameronMichael,Yes,Staff,Yes,RESEARCH_AND_INFORAMTION,AlexJay,CameronMichael@ContosoCorp.com,60607084,SG,25-04-2019 00:00,,25-04-2019 00:00,,,,25-04-2019 00:00,25-04-2019 00:00,,NewJoinee
15,15,CharlesMohammad,Charles,,Mohammad,CharlesMohammad,Yes,Staff,Yes,RECRUITMENT,AlexanderJayden,CharlesMohammad@ContosoCorp.com,60607085,SG,25-04-2019 00:00,,25-04-2019 00:00,,,,25-04-2019 00:00,25-04-2019 00:00,,NewJoinee
16,16,CharlieRyan,Charlie,,Ryan,CharlieRyan,Yes,Staff,Yes,INDUSTRIAL_RELATIONS,AlexanderJayden,CharlieRyan@ContosoCorp.com,60607086,SG,25-04-2019 00:00,,25-04-2019 00:00,,,,25-04-2019 00:00,25-04-2019 00:00,,NewJoinee
17,17,ChristopherSam,Christopher,,Sam,ChristopherSam,Yes,Staff,Yes,TRAINING_AND_DEVELOPMENT,AlexanderJayden,ChristopherSam@ContosoCorp.com,60607087,SG,25-04-2019 00:00,,25-04-2019 00:00,,,,25-04-2019 00:00,25-04-2019 00:00,,NewJoinee
18,18,ConnorSamuel,Connor,,Samuel,ConnorSamuel,Yes,Staff,Yes,COMPENSATION_AND_BENIFITS,AlexanderJayden,ConnorSamuel@ContosoCorp.com,60607088,SG,25-04-2019 00:00,,25-04-2019 00:00,,,,25-04-2019 00:00,25-04-2019 00:00,,NewJoinee
